,Record ID,Number of Strikes,Collision Month,Collision Day,Collision Year,Collision Time,Aircraft: Type,Aircraft: Number of engines,Airport: Code,Airport: Name,Origin State Code,When: Phase of flight,Feet above ground,Miles from airport,Wildlife: Animal Category,Wildlife: Species,Effect: Amount of damage (detailed),Effect: Impact to flight,Cost: Aircraft time out of service (hours),Cost: Total $
24,336291,1,7,24,2013,19:27,,,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Killdeer,None,None,,0
25,317235,1,9,26,2011,14:00,Airplane,1.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,American kestrel,None,None,,0
26,257660,1,8,16,2008,11:25,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,American kestrel,None,None,,0
27,328141,1,9,12,2012,7:38,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,American kestrel,None,None,,0
28,258569,1,8,12,2008,17:15,,,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,American kestrel,None,None,,0
29,203325,1,3,22,2001,8:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Hawks,None,None,,0
30,203110,1,10,6,2000,18:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Red-tailed hawk,None,None,,0
31,208894,1,10,20,2000,17:40,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Red-tailed hawk,None,None,,0
32,346649,1,5,23,2014,0:55,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Grasshopper sparrow,None,None,,0
33,228068,1,8,5,2004,14:10,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Sparrows,None,None,,0
34,313601,1,7,25,2011,10:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,European starling,None,None,,0
35,316033,1,9,5,2011,11:06,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Bank swallow,None,None,,0
36,316026,1,9,5,2011,11:15,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Bank swallow,None,None,,0
37,209156,1,5,8,2002,10:08,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Barn swallow,None,None,,0
38,304142,1,7,11,2010,8:49,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Barn swallow,None,None,,0
39,304306,1,7,19,2010,9:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Barn swallow,None,None,,0
40,315505,1,8,9,2011,0:16,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Barn swallow,None,None,,0
41,325164,1,7,25,2012,11:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Barn swallow,None,None,,0
42,304298,1,7,19,2010,10:40,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Barn swallow,None,None,,0
43,315410,1,8,3,2011,8:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Cliff swallow,None,None,,0
44,316032,1,9,5,2011,13:17,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Cliff swallow,None,None,,0
45,351645,1,8,6,2014,0:21,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Cliff swallow,None,None,,0
46,212221,1,7,22,2002,10:09,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Swallows,None,None,,0
47,259324,1,8,11,2008,0:50,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Tree swallow,None,None,,0
48,344085,1,3,9,2014,10:16,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,American robin,None,None,,0
49,346917,1,6,14,2014,16:25,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,American robin,None,None,,0
50,253167,1,6,15,2008,11:42,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Terrestrial Mammals,Woodchuck,None,None,,0
51,260468,1,4,5,2009,17:38,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Terrestrial Mammals,Woodchuck,None,None,,0
52,324932,1,7,4,2012,18:34,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Terrestrial Mammals,Woodchuck,None,None,,0
53,309646,1,1,3,2011,15:46,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,5.0,0.0,Birds,Red-tailed hawk,None,None,,0
54,344597,1,4,7,2014,7:40,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,10.0,0.0,Birds,Ring-billed gull,None,None,,0
55,256214,1,5,24,2008,15:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,20.0,0.0,Birds,American kestrel,None,None,,0
56,314349,1,7,23,2011,8:40,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,20.0,0.0,Birds,Tree swallow,None,None,,0
57,353276,1,9,26,2014,9:45,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,30.0,0.0,Birds,Tree swallow,None,None,,0
58,259247,1,9,25,2008,7:32,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Climb,50.0,0.0,Birds,American kestrel,None,None,,0
59,332529,1,4,19,2013,17:10,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Approach,,0.0,Birds,American kestrel,None,None,,0
60,314763,1,8,27,2011,0:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,,,0.0,Birds,Barn swallow,None,None,,0
61,357134,1,12,4,2014,11:00,Airplane,1.0,ABE,LEHIGH VALLEY INTL,PA,Approach,150.0,0.5,Birds,Canada goose,Minor,None,,0
62,201106,1,3,22,2000,10:53,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,5.0,,Birds,Gulls,None,None,,0
63,220331,1,8,11,2003,15:20,Airplane,4.0,ABE,LEHIGH VALLEY INTL,PA,Approach,90.0,,Birds,Sparrows,None,None,,0
64,226026,1,5,27,2004,14:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,400.0,,Birds,Gulls,None,None,,0
65,235659,1,2,28,2006,9:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Climb,400.0,,Birds,White-throated sparrow,None,None,,0
66,308829,1,11,28,2010,10:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,400.0,,Birds,Cedar waxwing,None,None,,0
67,314187,1,7,12,2011,16:20,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,1500.0,,Birds,Red-tailed hawk,None,None,,0
68,343089,1,12,8,2013,13:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,,,Birds,Mourning dove,None,None,,0
69,316857,1,9,21,2011,10:43,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,,,Birds,European starling,None,None,,0
70,315138,1,8,7,2011,18:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Killdeer,None,None,,0
71,266497,1,8,26,2009,18:44,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Red-tailed hawk,None,None,,0
72,251574,1,11,19,2007,17:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,1000.0,,Birds,Snow goose,Minor,Precautionary Landing,,0
73,323674,1,6,8,2012,21:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Bats,Little brown bat,None,None,,0
74,342912,1,12,24,2013,6:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Snowy owl,None,None,,0
75,328869,1,10,28,2012,20:52,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Terrestrial Mammals,Striped skunk,None,None,,0
76,334811,1,6,16,2013,19:25,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,5.0,0.0,Birds,Killdeer,None,None,,0
77,266872,1,8,24,2009,21:06,Airplane,3.0,ABE,LEHIGH VALLEY INTL,PA,Climb,50.0,0.0,Birds,Killdeer,None,None,,0
78,336806,1,8,1,2013,21:30,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,100.0,,Bats,Little brown bat,None,None,,0
79,346043,1,5,8,2014,22:40,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,200.0,,Birds,White-throated sparrow,None,None,,0
80,327358,1,9,28,2012,23:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,300.0,,Bats,Silver-haired bat,None,None,,0
81,301847,1,4,6,2010,21:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Descent,4000.0,,Birds,Perching birds (y),None,None,,0
82,231536,1,12,8,2004,17:57,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Approach,400.0,,Birds,Ducks,None,None,1.0,0
83,10273,1,9,25,2006,14:30,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Approach,0.0,,Birds,Cliff swallow,None,None,0.0,0
84,3579,1,5,20,2002,16:45,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Climb,10.0,,Birds,Horned lark,None,None,0.0,0
85,10745,1,12,20,2006,0:23,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Climb,,,Birds,Cedar waxwing,None,Precautionary Landing,0.0,0
86,4644,1,10,9,2001,18:45,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Take-off run,0.0,0.0,Birds,Scissor-tailed flycatcher,None,None,0.0,0
87,9799,1,8,10,2006,23:00,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Take-off run,200.0,,Birds,Perching birds (z),None,None,0.0,0
88,223238,1,7,17,2003,11:54,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Take-off run,0.0,0.0,Birds,Turkey vulture,None,Aborted Take-off,,0
89,326984,1,8,28,2012,19:15,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Landing Roll,0.0,0.0,Birds,Sparrows,None,None,,0
90,335131,1,7,19,2013,7:12,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Climb,50.0,0.0,Birds,Eastern meadowlark,None,None,,0
91,240809,1,4,19,2006,11:35,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Approach,15.0,,Birds,Scissor-tailed flycatcher,None,None,,0
92,3214,1,11,29,2000,11:30,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Climb,,,Birds,"Cardinals, buntings, sparrows",None,None,,0
93,15387,1,6,3,2011,0:00,,,ABI,ABILENE REGIONAL ARPT,TX,Landing,0.0,,Birds,Mourning dove,None,None,,0
94,17581,1,5,14,2014,11:45,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Landing,0.0,,Birds,Perching birds (y),None,None,,0
95,17037,1,2,13,2013,16:06,Airplane,,ABI,ABILENE REGIONAL ARPT,TX,Climb,1000.0,,Birds,McCown's longspur,None,None,,0
96,17256,1,10,23,2013,14:45,Airplane,2.0,ABI,ABILENE REGIONAL ARPT,TX,Climb,4000.0,,Birds,Cave swallow,None,None,,0
97,231484,1,10,30,2004,15:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,9500.0,15.0,Birds,Turkey vulture,Minor,None,39.0,3403
98,352210,1,9,9,2014,10:12,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Sparrows,None,Precautionary Landing,3.5,5000
99,325742,1,8,22,2012,19:22,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Mourning dove,None,None,2.0,0
100,331558,1,3,1,2013,19:43,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Horned lark,None,None,1.0,154
101,1504,1,2,14,2001,11:00,Airplane,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Perching birds (y),None,None,0.0,0
102,2514,1,9,26,2000,0:15,Airplane,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,50.0,,Birds,Horned lark,None,Precautionary Landing,0.0,0
103,2211,1,5,22,2001,23:30,Helicopter,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,1800.0,,Birds,Blue-headed vireo,None,None,0.0,0
104,225904,1,8,1,2004,7:50,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
105,348839,1,7,7,2014,5:35,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Burrowing owl,None,None,,0
106,240385,1,9,25,2006,6:25,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
107,336555,1,8,24,2013,6:15,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,,0.0,Birds,Mourning dove,None,None,,0
108,304726,1,8,26,2010,16:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,Aborted Take-off,,0
109,313663,1,7,4,2011,6:25,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
110,241305,1,8,8,2006,18:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
111,244223,1,5,17,2007,6:20,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
112,261201,1,6,21,2009,18:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Mourning dove,None,None,,0
113,347461,1,6,26,2014,7:22,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
114,235986,1,1,24,2006,0:22,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,House finch,None,None,,0
115,237173,1,2,3,2006,13:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,House finch,None,None,,0
116,241569,1,2,10,2006,10:35,,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,House finch,None,None,,0
117,300160,1,1,25,2010,9:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,333
118,355611,1,10,16,2014,10:15,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Horned lark,None,None,,0
119,352694,1,9,12,2014,9:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Western meadowlark,None,None,,0
120,261408,1,11,19,2008,9:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Rock pigeon,None,None,,0
121,307010,1,9,6,2010,11:30,Airplane,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Rock pigeon,None,None,,0
122,358107,1,2,4,2015,0:06,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Hawks,None,None,,97
123,2634,1,10,18,2002,13:25,Airplane,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Peregrine falcon,None,None,,0
124,257686,1,11,10,2008,13:11,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Red-tailed hawk,None,None,,0
125,240129,1,9,18,2006,8:35,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Sparrows,None,None,,0
126,260219,1,2,26,2009,13:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Sparrows,None,None,,0
127,230391,1,12,31,2004,17:00,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Sparrows,None,None,,0
128,236565,1,11,25,2005,13:20,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Sparrows,None,None,,0
129,267851,1,12,24,2009,16:37,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,European starling,None,None,,0
130,314263,1,7,17,2011,11:37,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
131,309641,1,1,2,2011,16:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
132,262336,1,6,15,2009,14:45,Airplane,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
133,245188,1,9,13,2006,16:15,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Black-tailed jackrabbit,None,None,,0
134,234585,1,8,5,2005,10:55,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Gunnison's prairie dog,None,None,,0
135,236996,1,5,20,2006,9:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Gunnison's prairie dog,None,None,,0
136,241002,1,7,10,2006,17:00,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Gunnison's prairie dog,None,None,,0
137,254380,1,7,28,2007,16:00,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,10.0,0.0,Birds,Mourning dove,None,None,,0
138,247495,1,8,17,2007,18:41,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,10.0,0.0,Birds,"Pigeons, doves",None,None,,0
139,351508,1,8,20,2014,19:16,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,20.0,0.0,Birds,Doves,None,None,,0
140,355196,1,10,31,2014,15:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Departure,,0.0,Birds,Sparrows,None,None,,0
141,343757,1,2,27,2014,11:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,9500.0,2.0,Birds,Sandhill crane,Medium,Precautionary Landing,,0
142,232268,1,12,9,2005,7:50,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,50.0,,Birds,Sparrows,None,None,,0
143,312208,1,5,12,2011,13:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,150.0,,Birds,Blackbirds,None,None,,0
144,320110,1,1,18,2012,7:50,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,200.0,,Birds,Rock pigeon,None,None,,0
145,319640,1,12,26,2011,11:40,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,500.0,,Birds,Rock pigeon,None,None,,0
146,254503,1,9,2,2008,19:10,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,700.0,,Birds,Tyrant flycatchers,None,None,,0
147,267494,1,10,1,2009,11:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,3850.0,,Birds,Hawks,None,None,,0
148,13990,1,11,13,2009,14:23,,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing,,,Birds,Horned lark,None,None,,0
149,252982,1,5,22,2008,15:15,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,,,Birds,Western meadowlark,Medium,Precautionary Landing,,0
150,315779,1,8,24,2011,10:35,Airplane,1.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,,,Birds,Sparrows,None,None,,0
151,310117,1,2,4,2011,18:51,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,0
152,257148,1,6,2,2008,21:15,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Burrowing owl,None,None,,0
153,213793,1,9,16,2002,19:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Birds,Owls,None,None,,0
154,247917,1,4,27,2007,21:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing Roll,0.0,0.0,Terrestrial Mammals,Coyote,Minor,,,0
155,236211,1,4,20,2006,21:11,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
156,254240,1,3,13,2008,22:45,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Coyote,None,None,,0
157,253164,1,8,12,2008,22:00,,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Take-off run,0.0,0.0,Terrestrial Mammals,Rabbits,None,None,,0
158,316053,1,9,9,2011,20:19,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,300.0,,Birds,European starling,None,None,,0
159,254120,1,4,13,2008,20:30,Airplane,2.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Climb,9600.0,,Birds,Snow goose,Medium,Precautionary Landing,,0
160,13800,1,3,3,2009,22:45,,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing,,,Birds,Sage sparrow,None,None,,0
161,14135,1,10,14,2009,23:59,,,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Landing,,,Birds,Sage sparrow,None,None,,0
162,15683,1,10,20,2011,21:15,Airplane,4.0,ABQ,ALBUQUERQUE INTL SUNPORT,NM,Approach,100.0,,Birds,Chipping sparrow,None,None,,0
